id;tema;nome;pontos;status;dataBacklog;dataExecucao;dataQA;dataValCliente;dataFinalizado;bloqueadoDesde;motivoBloqueio;ciclosValidacao;dadosProntos
D039;Recursos Humanos;Painel de Recrutamento;2;valcliente;2026-02-28;2026-03-15;2026-03-18;2026-03-19;;;;1;True
D040;Financeiro;Painel de Endividamento;8;valcliente;2026-02-13;2026-02-16;2026-03-02;2026-03-06;;;;1;True
D041;Tecnologia da Informação;Painel de Obsolescência;2;qa;2026-03-11;2026-04-26;2026-04-29;;;;;1;True
D042;Jurídico e Compliance;Painel de Prazos Processuais;3;qa;2026-02-12;2026-03-26;2026-03-31;;;;;1;True
D043;Atendimento ao Cliente;Painel de Tempo de Resolução;8;qa;2026-02-17;2026-02-21;2026-03-07;;;;;1;True
D044;Comercial;Painel de Cobertura de Carteira;13;qa;2026-03-13;2026-04-25;2026-05-21;;;;;1;True
D045;Operações e Logística;Painel de Produtividade CD;5;qa;2026-02-26;2026-03-01;2026-03-09;;;;;2;True
D046;Jurídico e Compliance;Painel de Procurações;8;qa;2026-02-08;2026-03-27;2026-04-11;;;;;1;True
D047;Comercial;Painel de Metas por Vendedor;1;qa;2026-02-17;2026-03-21;2026-03-23;;;;;1;True
D048;Financeiro;Painel de Margem por Produto;13;qa;2026-03-12;2026-05-06;2026-05-25;;;;;2;True
D049;Operações e Logística;Painel de Janelas de Doca;3;qa;2026-03-09;2026-04-09;2026-04-13;;;;;1;True
D050;Atendimento ao Cliente;Painel de CSAT por Canal;2;qa;2026-03-14;2026-04-01;2026-04-03;;;;;1;True
D051;Recursos Humanos;Painel de Absenteísmo;1;execucao;2026-02-20;2026-02-28;;;;;;0;True
D052;Suprimentos e Compras;Painel de Homologação de Fornecedores;2;execucao;2026-02-16;2026-03-17;;;;;;0;True
D053;Recursos Humanos;Painel de Clima Organizacional;3;execucao;2026-03-08;2026-04-04;;;;;;0;True
D054;Comercial;Painel de Pipeline Regional;8;execucao;2026-03-11;2026-04-19;;;;;;0;True
D055;Comercial;Painel de Comissões;3;execucao;2026-02-02;2026-04-03;;;;;;0;True
D056;Tecnologia da Informação;Painel de Custos de Cloud;13;execucao;2026-02-28;2026-04-29;;;;;;0;True
D057;Atendimento ao Cliente;Painel de SLA de Chamados;2;execucao;2026-02-16;2026-04-02;;;;;;0;True
D058;Sustentabilidade (ESG);Painel de Emissões de CO2;5;execucao;2026-02-27;2026-04-10;;;;;;0;True
D059;Comercial;Painel de Sazonalidade de Vendas;5;execucao;2026-02-27;2026-03-29;;;;;;0;True
D060;Sustentabilidade (ESG);Painel de Consumo de Energia;2;execucao;2026-03-03;2026-04-04;;;;;;0;True
D061;Recursos Humanos;Painel de Headcount;3;execucao;2026-02-26;2026-04-23;;;;;;0;True
D062;Suprimentos e Compras;Painel de Saving de Compras;2;execucao;2026-02-03;2026-02-20;;;;;;0;True
D063;Marketing;Painel de Brand Health;5;execucao;2026-02-04;2026-02-08;;;;;;0;True
D064;Recursos Humanos;Painel de Turnover;5;execucao;2026-02-17;2026-03-05;;;;;;0;True
D065;Comercial;Painel de Receita por Canal;3;execucao;2026-02-18;2026-04-09;;;;;;0;True
D066;Sustentabilidade (ESG);Painel de Indicadores Sociais;5;execucao;2026-02-12;2026-03-06;;;;;;0;True
D067;Tecnologia da Informação;Painel de Disponibilidade de Sistemas;5;execucao;2026-02-26;2026-04-14;;;;;;0;True
D068;Sustentabilidade (ESG);Painel de Resíduos e Reciclagem;8;execucao;2026-02-17;2026-03-30;;;;;;0;True
D069;Atendimento ao Cliente;Painel de Reincidência;8;execucao;2026-03-10;2026-04-05;;;;;;0;True
D070;Sustentabilidade (ESG);Painel de Cadeia Sustentável;1;execucao;2026-02-23;2026-03-25;;;;;;0;True
D071;Recursos Humanos;Painel de Treinamentos;13;bloqueado;2026-03-14;2026-03-28;;;;2026-04-07;Qualidade de dados insuficiente;0;False
D072;Suprimentos e Compras;Painel de Fornecedores Ativos;8;bloqueado;2026-03-08;2026-04-17;;;;2026-04-23;Qualidade de dados insuficiente;0;False
D073;Tecnologia da Informação;Painel de Chamados por Sistema;13;bloqueado;2026-02-07;2026-03-18;;;;2026-03-26;Qualidade de dados insuficiente;0;False
D074;Operações e Logística;Painel de OTIF;2;bloqueado;2026-02-22;2026-03-18;;;;2026-03-24;Qualidade de dados insuficiente;0;False
D075;Recursos Humanos;Painel de Diversidade;8;bloqueado;2026-03-07;2026-04-10;;;;2026-04-20;Regra de negócio em definição com o cliente;0;False
D076;Suprimentos e Compras;Painel de Contratos de Fornecimento;8;bloqueado;2026-03-05;2026-04-02;;;;2026-04-07;Qualidade de dados insuficiente;0;False
D077;Sustentabilidade (ESG);Painel de Governança ESG;8;bloqueado;2026-02-25;2026-04-16;;;;2026-04-26;Qualidade de dados insuficiente;0;False
D078;Comercial;Painel de Ticket Médio;5;backlog;2026-03-03;;;;;;;0;True
D079;Atendimento ao Cliente;Painel de Autoatendimento;3;backlog;2026-03-08;;;;;;;0;False
D080;Suprimentos e Compras;Painel de Lead Time de Suprimentos;5;backlog;2026-03-11;;;;;;;0;True
D081;Financeiro;Painel de DRE Gerencial;3;backlog;2026-02-16;;;;;;;0;True
D082;Jurídico e Compliance;Painel de LGPD;2;backlog;2026-02-05;;;;;;;0;False
D083;Financeiro;Painel de Inadimplência;5;backlog;2026-02-02;;;;;;;0;True
D084;Financeiro;Painel de Capital de Giro;2;backlog;2026-03-04;;;;;;;0;False
D085;Recursos Humanos;Painel de Avaliação de Desempenho;8;backlog;2026-02-11;;;;;;;0;False
D086;Operações e Logística;Painel de Ocupação de Frota;3;backlog;2026-02-28;;;;;;;0;True
D087;Operações e Logística;Painel de Custo de Frete;5;backlog;2026-03-02;;;;;;;0;False
D088;Comercial;Painel de Churn de Clientes;2;backlog;2026-02-08;;;;;;;0;False
D089;Financeiro;Painel de Orçado vs Realizado;3;backlog;2026-02-13;;;;;;;0;False
D090;Suprimentos e Compras;Painel de Ruptura de Estoque;5;backlog;2026-02-04;;;;;;;0;True
D091;Suprimentos e Compras;Painel de Homologação de Fornecedores — Visão Executiva;8;backlog;2026-02-18;;;;;;;0;False
D092;Marketing;Painel de Eventos — Visão Executiva;5;backlog;2026-03-08;;;;;;;0;True
D093;Marketing;Painel de CAC e LTV — Visão Executiva;2;backlog;2026-02-21;;;;;;;0;True
D094;Jurídico e Compliance;Painel de Provisões — Visão Executiva;5;backlog;2026-02-21;;;;;;;0;True
D095;Tecnologia da Informação;Painel de Chamados por Sistema — Visão Executiva;2;backlog;2026-02-04;;;;;;;0;True
D096;Marketing;Painel de Eventos — Visão Executiva — Visão Executiva;3;backlog;2026-03-10;;;;;;;0;False
D097;Tecnologia da Informação;Painel de Obsolescência — Visão Executiva;8;backlog;2026-02-13;;;;;;;0;True
D098;Jurídico e Compliance;Painel de Provisões — Visão Executiva;8;backlog;2026-03-14;;;;;;;0;True
D099;Financeiro;Painel de Capital de Giro — Visão Executiva;5;backlog;2026-02-08;;;;;;;0;True
D100;Recursos Humanos;Painel de Turnover — Visão Executiva;13;backlog;2026-03-09;;;;;;;0;True
